sample	species_code	depth_order	Observed	Chao1	ACE	Shannon	Simpson	Pielou
DGAW1.1	DG	1	130	141.322580645161	153.620478981754	2.48726076174653	0.725935104455945	0.510989862950787
DGAW1.2	DG	1	88	108.3125	114.649736079242	1.41894060967616	0.440395972206881	0.316916209003482
DGAW1.3	DG	1	201	240	246.27387849671	3.48793823321043	0.919827208687204	0.657691438391567
DGAW2.1	DG	2	137	168.714285714286	169.374203407601	2.58991658407205	0.752484185376778	0.526407850582494
DGAW2.2	DG	2	113	135.555555555556	141.82049200617	2.76705895844687	0.854252599682641	0.585325144574361
DGAW2.3	DG	2	98	112.4375	116.453689610463	2.74667242026212	0.876832743436797	0.599060393130319
DGAW3.1	DG	3	170	204.166666666667	202.903628779876	3.31223735887683	0.898774138294073	0.644931338228143
DGAW3.3	DG	3	74	81.2857142857143	88.3947247982657	1.32654912278977	0.478858172581641	0.308208424841041
DSAW1.1	DS	1	156	205	213.005730659026	2.97120604426989	0.853175447989857	0.588374409092942
DSAW1.2	DS	1	146	192.866666666667	184.738730673809	3.69998248579215	0.950114849328008	0.742430686578515
DSAW1.3	DS	1	85	105.3	117.528355637981	1.92832698717956	0.716352636837861	0.434048696566594
DSAW2.1	DS	2	127	216.4375	208.932374081405	2.54108447485578	0.814853805283473	0.524563653199752
DSAW2.2	DS	2	75	117	96.597602522818	2.78331129608154	0.892248834245553	0.644659863070665
DSAW2.3	DS	2	142	191	199.002991175151	3.23150985147511	0.931177823208759	0.652062675697815
DSAW3.1	DS	3	16	19	18.4255064392621	0.426516033513241	0.190962196775114	0.153833141602296
DSAW3.2	DS	3	39	42.5	45.5079311535712	1.80186991627606	0.734419302448631	0.491835566129927
DSAW3.3	DS	3	115	212.235294117647	216.528502472555	1.69540343388805	0.613334424883616	0.357308258163193
HDAW1.1	HD	1	94	94	94	3.17342744376046	0.916403086756101	0.698485921746618
HDAW1.2	HD	1	56	67.3333333333333	74.4310398889113	1.78957052384458	0.6518994723328	0.444574949305299
HDAW1.3	HD	1	99	132	141.271464345806	2.75240010750173	0.888658648571615	0.598983312137357
HDAW2.1	HD	2	132	161.689655172414	189.311583473529	3.36837220557586	0.938147289489351	0.68984412207974
HDAW2.2	HD	2	149	185.384615384615	192.915257943454	3.28967295331574	0.92823488845652	0.65741571795187
HDAW2.3	HD	2	58	73.1111111111111	76.8455804725713	2.27364978191795	0.853555707906355	0.559951161982194
HDAW3.1	HD	3	215	295.896551724138	290.909999892001	3.85720763293079	0.94775087504005	0.718202867653605
HDAW3.2	HD	3	114	130.25	134.178993751771	2.60354487216682	0.836029058001019	0.549711947363477
HDAW3.3	HD	3	63	87	79.6695526695527	2.77246776732867	0.90554805800383	0.669171521183757
XJAW1.1	XJ	1	81	94.9090909090909	100.963576642336	2.96498468213976	0.88817417028637	0.674711341007827
XJAW1.2	XJ	1	90	114.8	133.783522661351	2.2166757717924	0.812027979066643	0.492615451361904
XJAW1.3	XJ	1	43	54.1428571428571	62.9964070547965	1.55585990455767	0.621487043908364	0.413660495772575
XJAW2.1	XJ	2	126	151.833333333333	149.454107340179	2.38984836024048	0.802261758008924	0.494149928854522
XJAW2.2	XJ	2	110	168.571428571429	153.568307305805	1.6013348564623	0.502756267312162	0.340674725101706
XJAW2.3	XJ	2	56	70.6153846153846	84.5365447120593	1.98502782003805	0.779046979240866	0.493131525527778
XJAW3.1	XJ	3	30	36.875	45.7252135272392	0.635962332471693	0.232318925212419	0.186981895229174
XJAW3.2	XJ	3	94	117.25	117.575588571429	1.67077472704213	0.681638869502215	0.367745173296316
XJAW3.3	XJ	3	78	78	78	2.45857730245787	0.792609628639098	0.564319857089463
