asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV00001	Fungi						
ASV00003	Fungi						
ASV00004	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
ASV00005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Montagnea	arenaria
ASV00007	Fungi	Ascomycota					
ASV00008	Fungi						
ASV00009	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tanneri
ASV00010	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	
ASV00011	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Oliveoniaceae	Oliveonia	
ASV00012	Fungi	Ascomycota					
ASV00013	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	rosae
ASV00014	Fungi						
ASV00016	Fungi	Ascomycota					
ASV00020	Fungi						
ASV00021	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae		
ASV00023	Fungi						
ASV00025	Fungi						
ASV00027	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV00028	Fungi						
ASV00029	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	giovanellae
ASV00030	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV00032	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	tenuissima
ASV00033	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	giovanellae
ASV00034	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	fischeri
ASV00035	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	
ASV00036	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
ASV00038	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Vacuiphoma	bulgarica
ASV00040	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	bilaiae
ASV00041	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pseudombrophilaceae	Heydenia	
ASV00042	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00043	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
ASV00044	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00045	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	obesum
ASV00046	Fungi						
ASV00047	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	salina
ASV00048	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tanneri
ASV00049	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00050	Fungi	Ascomycota	Eurotiomycetes				
ASV00051	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae		
ASV00052	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	sclerotiorum
ASV00054	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00055	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Saksenaeaceae	Apophysomyces	jiangsuensis
ASV00056	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV00057	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV00058	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	herbarum
ASV00060	Fungi						
ASV00061	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsiellopsis	
ASV00062	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	cannabis
ASV00063	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsiellopsis	
ASV00064	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	obesum
ASV00065	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV00066	Fungi	Ascomycota	Dothideomycetes			Monodictys	putredinis
ASV00067	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaeopsis	
ASV00070	Fungi						
ASV00071	Fungi						
ASV00072	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	vishniacii
ASV00073	Fungi	Ascomycota					
ASV00074	Fungi						
ASV00075	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV00078	Fungi	Chytridiomycota					
ASV00079	Fungi						
ASV00080	Fungi	Ascomycota	Leotiomycetes	Helotiales		Cistella	
ASV00081	Fungi	Ascomycota	Leotiomycetes	Helotiales		Cistella	
ASV00082	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	
ASV00083	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	
ASV00084	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	
ASV00085	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00087	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	
ASV00091	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Saksenaeaceae	Apophysomyces	jiangsuensis
ASV00092	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00093	Fungi						
ASV00094	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00095	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	olivacea
ASV00097	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	croceobasis
ASV00098	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	
ASV00100	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Spiromastigaceae		
ASV00101	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV00103	Fungi						
ASV00104	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Marcelleina	
ASV00105	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tanneri
ASV00106	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV00108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dematiopleospora	salsolae
ASV00109	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	
ASV00111	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00112	Fungi						
ASV00113	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV00114	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pseudombrophilaceae	Heydenia	
ASV00115	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	
