genus	n_core_ASVs	mean_relative_abundance	primary_lifestyle	core_definition
Alternaria	2	0.635170014588711	plant_pathogen	Four-site shared core
Apophysomyces	1	0.751131560243893	soil_saprotroph	Four-site shared core
Aspergillus	6	4.70803875360042	unspecified_saprotroph	Four-site shared core
Aureobasidium	1	1.73717876781506	sooty_mold	Four-site shared core
Ceratobasidium	1	0.557363558149104	plant_pathogen	Four-site shared core
Cistella	1	0.718213444057906	wood_saprotroph	Four-site shared core
Cladosporium	2	0.608237010436539	litter_saprotroph	Four-site shared core
Claroideoglomus	1	0.0807990124565144	arbuscular_mycorrhizal	Four-site shared core
Comoclathris	1	1.55612912879213	wood_saprotroph	Four-site shared core
Cyphellophora	1	0.201249392137059	litter_saprotroph	Four-site shared core
Dematiopleospora	1	0.219952867242734	litter_saprotroph	Four-site shared core
Dominikia	1	0.202745670145513	arbuscular_mycorrhizal	Four-site shared core
Emmonsiellopsis	1	0.0770583174353795	soil_saprotroph	Four-site shared core
Filobasidium	1	0.050125313283208	unspecified_saprotroph	Four-site shared core
Funneliformis	1	0.0995024875621891	arbuscular_mycorrhizal	Four-site shared core
Heydenia	1	0.804249429544009	litter_saprotroph	Four-site shared core
Linnemannia	1	0.230426813301911	Unassigned	Four-site shared core
Mortierella	2	0.600755620394269	soil_saprotroph	Four-site shared core
Naganishia	2	0.555119141136423	unspecified_saprotroph	Four-site shared core
Neocamarosporium	2	0.365839973066996	wood_saprotroph	Four-site shared core
Neodidymelliopsis	1	0.311973964762653	litter_saprotroph	Four-site shared core
Penicillium	3	0.291026072644297	unspecified_saprotroph	Four-site shared core
Phialophora	1	0.109976433621367	litter_saprotroph	Four-site shared core
Preussia	1	0.234167508323046	dung_saprotroph	Four-site shared core
Pringsheimia	1	0.0284292821606254	wood_saprotroph	Four-site shared core
Psathyrella	1	0.427935510417836	wood_saprotroph	Four-site shared core
Pseudogymnoascus	1	1.59054352298657	soil_saprotroph	Four-site shared core
Scutellinia	1	0.195264280103243	wood_saprotroph	Four-site shared core
Sporormiella	1	0.0246885871394905	litter_saprotroph	Four-site shared core
Talaromyces	1	0.341899524931732	unspecified_saprotroph	Four-site shared core
Thelebolus	1	0.157857329891894	dung_saprotroph	Four-site shared core
Thyrostroma	1	0.149627800845397	plant_pathogen	Four-site shared core
Trichophaeopsis	1	0.307485130737291	litter_saprotroph	Four-site shared core
Tulostoma	2	1.09826805820521	soil_saprotroph	Four-site shared core
