group1	life	ab	rel
DG1	Unassigned/no-trait	4977	0.434406912804399
DG1	algal_parasite	2	0.000174565767652963
DG1	animal_parasite	19	0.00165837479270315
DG1	arbuscular_mycorrhizal	611	0.0533298420179803
DG1	dung_saprotroph	214	0.0186785371388671
DG1	ectomycorrhizal	40	0.00349131535305927
DG1	foliar_endophyte	9	0.000785545954438335
DG1	lichen_parasite	36	0.00314218381775334
DG1	litter_saprotroph	1343	0.117220912978965
DG1	mycoparasite	5	0.000436414419132408
DG1	nectar/tap_saprotroph	4	0.000349131535305927
DG1	plant_pathogen	360	0.0314218381775334
DG1	root_endophyte	33	0.00288033516627389
DG1	soil_saprotroph	399	0.0348258706467662
DG1	sooty_mold	2021	0.176398708213319
DG1	unspecified_saprotroph	296	0.0258357336126386
DG1	wood_saprotroph	1088	0.094963777603212
DG2	Unassigned/no-trait	5121	0.446975648075412
DG2	algal_parasite	11	0.000960111722091298
DG2	animal_parasite	87	0.0075936108929039
DG2	arbuscular_mycorrhizal	554	0.0483547176398708
DG2	dung_saprotroph	18	0.00157109190887667
DG2	ectomycorrhizal	10	0.000872828838264816
DG2	foliar_endophyte	8	0.000698263070611853
DG2	lichen_parasite	89	0.00776817666055687
DG2	litter_saprotroph	647	0.0564720258357336
DG2	mycoparasite	3	0.000261848651479445
DG2	nectar/tap_saprotroph	1	8.72828838264816e-05
DG2	plant_pathogen	374	0.0326437985511041
DG2	root_endophyte	1	8.72828838264816e-05
DG2	soil_saprotroph	611	0.0533298420179803
DG2	sooty_mold	163	0.0142271100637165
DG2	unspecified_saprotroph	231	0.0201623461639173
DG2	wood_saprotroph	3528	0.307934014139827
DG3	Unassigned/no-trait	4936	0.64624247185127
DG3	animal_parasite	3	0.000392772977219167
DG3	arbuscular_mycorrhizal	203	0.0265776381251637
DG3	dung_saprotroph	23	0.00301125949201362
DG3	ectomycorrhizal	11	0.00144016758313695
DG3	epiphyte	1	0.000130924325739722
DG3	lichen_parasite	15	0.00196386488609584
DG3	lichenized	2	0.000261848651479445
DG3	litter_saprotroph	1246	0.163131709871694
DG3	nectar/tap_saprotroph	3	0.000392772977219167
DG3	plant_pathogen	145	0.0189840272322598
DG3	root_endophyte	6	0.000785545954438335
DG3	soil_saprotroph	61	0.00798638387012307
DG3	sooty_mold	163	0.0213406650955748
DG3	unspecified_saprotroph	107	0.0140089028541503
DG3	wood_saprotroph	713	0.0933490442524221
DS1	Unassigned/no-trait	5816	0.507637252334817
DS1	animal_parasite	626	0.0546390852753775
DS1	arbuscular_mycorrhizal	65	0.00567338744872131
DS1	dung_saprotroph	320	0.0279305228244741
DS1	ectomycorrhizal	1	8.72828838264816e-05
DS1	lichen_parasite	13	0.00113467748974426
DS1	litter_saprotroph	1098	0.0958366064414768
DS1	mycoparasite	7	0.000610980186785371
DS1	plant_pathogen	1487	0.129789648249978
DS1	root_endophyte	2	0.000174565767652963
DS1	soil_saprotroph	953	0.083180588286637
DS1	sooty_mold	9	0.000785545954438335
DS1	unspecified_saprotroph	661	0.0576939862093044
DS1	wood_saprotroph	399	0.0348258706467662
DS2	Unassigned/no-trait	3157	0.275552064240203
DS2	animal_parasite	39	0.00340403246923278
DS2	arbuscular_mycorrhizal	108	0.00942655145326002
DS2	dung_saprotroph	17	0.00148380902505019
DS2	ectomycorrhizal	17	0.00148380902505019
DS2	lichen_parasite	1	8.72828838264816e-05
DS2	litter_saprotroph	1147	0.100113467748974
DS2	mycoparasite	2	0.000174565767652963
DS2	nectar/tap_saprotroph	6	0.00052369730295889
DS2	plant_pathogen	819	0.0714846818538885
DS2	soil_saprotroph	3612	0.315265776381252
DS2	sooty_mold	7	0.000610980186785371
DS2	unspecified_saprotroph	1938	0.169154228855721
DS2	wood_saprotroph	587	0.0512350528061447
DS3	Unassigned/no-trait	7374	0.643623985336475
DS3	animal_parasite	45	0.00392772977219167
DS3	arbuscular_mycorrhizal	7	0.000610980186785371
DS3	dung_saprotroph	26	0.00226935497948852
DS3	ectomycorrhizal	2	0.000174565767652963
DS3	foliar_endophyte	1	8.72828838264816e-05
DS3	lichen_parasite	3	0.000261848651479445
DS3	litter_saprotroph	44	0.00384044688836519
DS3	mycoparasite	1	8.72828838264816e-05
DS3	nectar/tap_saprotroph	19	0.00165837479270315
DS3	plant_pathogen	262	0.0228681155625382
DS3	soil_saprotroph	3193	0.278694248057956
DS3	sooty_mold	9	0.000785545954438335
DS3	unspecified_saprotroph	64	0.00558610456489482
DS3	wood_saprotroph	407	0.035524133717378
HD1	Unassigned/no-trait	4130	0.360478310203369
HD1	arbuscular_mycorrhizal	75	0.00654621628698612
HD1	dung_saprotroph	146	0.0127433010386663
HD1	ectomycorrhizal	266	0.0232172470978441
HD1	foliar_endophyte	2	0.000174565767652963
HD1	lichen_parasite	5	0.000436414419132408
