env_sample_id	sample	species_code	species	depth_code	depth_cm	replicate	group1	site_order	med_degree	site	depth_order	depth_minus	depth	SM	OM	TN	TP	TK	Nitrate_N	Ammonium_N	Olsen_P	AK	pH	EC	TDS	depth_factor
DG1_1	DGAW1.1	DG	Ferula lehmannii	1	3	1	DG1	4	3	DG	1	-3	3	9.915	8.334	0.437	0.59	21.384	5.741	10.893	1.288	320.57	9.93	0.5	2.7	1
DG1_2	DGAW1.2	DG	Ferula lehmannii	1	3	2	DG1	4	3	DG	1	-3	3	9.915	8.334	0.437	0.59	21.384	5.741	10.893	1.288	320.57	9.93	0.5	2.7	1
DG1_3	DGAW1.3	DG	Ferula lehmannii	1	3	3	DG1	4	3	DG	1	-3	3	9.915	8.334	0.437	0.59	21.384	5.741	10.893	1.288	320.57	9.93	0.5	2.7	1
DG2_1	DGAW2.1	DG	Ferula lehmannii	2	20	1	DG2	4	3	DG	2	-20	20	11.612	5.507	0.428	0.641	22.928	5.455	12.962	0.977	307.68	10.08	0.77	4.4	2
DG2_2	DGAW2.2	DG	Ferula lehmannii	2	20	2	DG2	4	3	DG	2	-20	20	11.612	5.507	0.428	0.641	22.928	5.455	12.962	0.977	307.68	10.08	0.77	4.4	2
DG2_3	DGAW2.3	DG	Ferula lehmannii	2	20	3	DG2	4	3	DG	2	-20	20	11.612	5.507	0.428	0.641	22.928	5.455	12.962	0.977	307.68	10.08	0.77	4.4	2
DG3_1	DGAW3.1	DG	Ferula lehmannii	3	40	1	DG3	4	3	DG	3	-40	40	11.713	4.788	0.402	0.743	21.069	7.694	12.084	0.799	326.74	10.03	0.86	4.35	3
DG3_3	DGAW3.3	DG	Ferula lehmannii	3	40	3	DG3	4	3	DG	3	-40	40	11.713	4.788	0.402	0.743	21.069	7.694	12.084	0.799	326.74	10.03	0.86	4.35	3
DS1_1	DSAW1.1	DS	Ferula ferulaeoides	1	3	1	DS1	3	2	DS	1	-3	3	1.59	4.264	0.304	0.735	19.761	4.91	11.704	7.684	461.46	8.74	0.15	0.75	1
DS1_2	DSAW1.2	DS	Ferula ferulaeoides	1	3	2	DS1	3	2	DS	1	-3	3	1.59	4.264	0.304	0.735	19.761	4.91	11.704	7.684	461.46	8.74	0.15	0.75	1
DS1_3	DSAW1.3	DS	Ferula ferulaeoides	1	3	3	DS1	3	2	DS	1	-3	3	1.59	4.264	0.304	0.735	19.761	4.91	11.704	7.684	461.46	8.74	0.15	0.75	1
DS2_1	DSAW2.1	DS	Ferula ferulaeoides	2	20	1	DS2	3	2	DS	2	-20	20	2.884	7.367	0.421	0.548	20.898	4.158	13.333	5.744	133.96	8.66	0.29	0.975	2
DS2_2	DSAW2.2	DS	Ferula ferulaeoides	2	20	2	DS2	3	2	DS	2	-20	20	2.884	7.367	0.421	0.548	20.898	4.158	13.333	5.744	133.96	8.66	0.29	0.975	2
DS2_3	DSAW2.3	DS	Ferula ferulaeoides	2	20	3	DS2	3	2	DS	2	-20	20	2.884	7.367	0.421	0.548	20.898	4.158	13.333	5.744	133.96	8.66	0.29	0.975	2
DS3_1	DSAW3.1	DS	Ferula ferulaeoides	3	40	1	DS3	3	2	DS	3	-40	40	2.548	4.543	0.31	0.455	17.938	3.485	12.189	4.249	70.3	8.45	0.38	1.025	3
DS3_2	DSAW3.2	DS	Ferula ferulaeoides	3	40	2	DS3	3	2	DS	3	-40	40	2.548	4.543	0.31	0.455	17.938	3.485	12.189	4.249	70.3	8.45	0.38	1.025	3
DS3_3	DSAW3.3	DS	Ferula ferulaeoides	3	40	3	DS3	3	2	DS	3	-40	40	2.548	4.543	0.31	0.455	17.938	3.485	12.189	4.249	70.3	8.45	0.38	1.025	3
HD1_1	HDAW1.1	HD	Ferula syreitschikowii	1	3	1	HD1	1	1	HD	1	-3	3	5.012	11.981	0.73	0.923	20.105	7.002	21.921	8.617	372.43	8.76	0.18	0.95	1
HD1_2	HDAW1.2	HD	Ferula syreitschikowii	1	3	2	HD1	1	1	HD	1	-3	3	5.012	11.981	0.73	0.923	20.105	7.002	21.921	8.617	372.43	8.76	0.18	0.95	1
HD1_3	HDAW1.3	HD	Ferula syreitschikowii	1	3	3	HD1	1	1	HD	1	-3	3	5.012	11.981	0.73	0.923	20.105	7.002	21.921	8.617	372.43	8.76	0.18	0.95	1
HD2_1	HDAW2.1	HD	Ferula syreitschikowii	2	20	1	HD2	1	1	HD	2	-20	20	5.547	8.879	0.627	0.778	20.55	36.371	16.477	6.277	156.98	8.98	0.63	1.875	2
